Parcel,label,exo,est,se,z,pvalue,ci.lower,ci.upper,cfi,rmsea,label_Yeo_7,label_Yeo7_short
27,σA_mig1,0,-0.092,0.087,-1.061,0.289,-0.262,0.078,0.989,0.017,7Networks_LH_Vis_27,Vis
27,σA_gdg1,0,0.009,0.087,0.108,0.914,-0.162,0.181,0.989,0.017,7Networks_LH_Vis_27,Vis
27,σA_migd,0,-0.022,0.067,-0.331,0.74,-0.154,0.109,0.989,0.017,7Networks_LH_Vis_27,Vis
27,σE_mig1,0,-0.07,0.064,-1.093,0.274,-0.196,0.056,0.989,0.017,7Networks_LH_Vis_27,Vis
27,σE_gdg1,0,0.098,0.082,1.194,0.233,-0.063,0.26,0.989,0.017,7Networks_LH_Vis_27,Vis
27,σE_migd,0,0.034,0.054,0.631,0.528,-0.071,0.139,0.989,0.017,7Networks_LH_Vis_27,Vis
28,mean_FCG11,0,-0.009,0.063,-0.137,0.891,-0.132,0.115,1,0,7Networks_LH_Vis_28,Vis
28,mean_FCG12,0,-0.009,0.061,-0.142,0.887,-0.128,0.11,1,0,7Networks_LH_Vis_28,Vis
28,mean_T1w/T2wmi,0,0.013,0.062,0.202,0.84,-0.11,0.135,1,0,7Networks_LH_Vis_28,Vis
28,GD,0,0.002,0.061,0.035,0.972,-0.118,0.122,1,0,7Networks_LH_Vis_28,Vis
28,λ,0,0.769,0.046,16.898,0,0.68,0.858,1,0,7Networks_LH_Vis_28,Vis
28,σ1intra^2,0,0.469,0.049,9.619,0,0.373,0.564,1,0,7Networks_LH_Vis_28,Vis
28,σ2intra^2,0,0.371,0.044,8.513,0,0.286,0.457,1,0,7Networks_LH_Vis_28,Vis
28,σAinter^2,0,0.826,0.085,9.737,0,0.66,0.992,1,0,7Networks_LH_Vis_28,Vis
28,σAmi^2,0,0.543,0.095,5.743,0,0.358,0.729,1,0,7Networks_LH_Vis_28,Vis
28,σAGD^2,0,0.437,0.1,4.379,0,0.241,0.633,1,0,7Networks_LH_Vis_28,Vis
28,σEinter^2,0,0.174,0.085,2.048,0.041,0.008,0.34,1,0,7Networks_LH_Vis_28,Vis
28,σEmi^2,0,0.449,0.064,7,0,0.323,0.574,1,0,7Networks_LH_Vis_28,Vis
28,σEGD^2,0,0.563,0.08,7.062,0,0.407,0.719,1,0,7Networks_LH_Vis_28,Vis
28,σA_mig1,0,-0.078,0.08,-0.974,0.33,-0.235,0.079,1,0,7Networks_LH_Vis_28,Vis
28,σA_gdg1,0,0.39,0.084,4.622,0,0.225,0.556,1,0,7Networks_LH_Vis_28,Vis
28,σA_migd,0,-0.036,0.069,-0.522,0.602,-0.17,0.099,1,0,7Networks_LH_Vis_28,Vis
28,σE_mig1,0,-0.017,0.051,-0.339,0.735,-0.117,0.082,1,0,7Networks_LH_Vis_28,Vis
28,σE_gdg1,0,0.24,0.064,3.743,0,0.114,0.366,1,0,7Networks_LH_Vis_28,Vis
28,σE_migd,0,0.024,0.051,0.473,0.636,-0.075,0.123,1,0,7Networks_LH_Vis_28,Vis
29,mean_FCG11,0,0.003,0.057,0.057,0.954,-0.109,0.116,1,0,7Networks_LH_Vis_29,Vis
29,mean_FCG12,0,0.003,0.058,0.057,0.954,-0.109,0.116,1,0,7Networks_LH_Vis_29,Vis
29,mean_T1w/T2wmi,0,0.014,0.063,0.22,0.826,-0.11,0.138,1,0,7Networks_LH_Vis_29,Vis
29,GD,0,-0.004,0.061,-0.067,0.946,-0.124,0.116,1,0,7Networks_LH_Vis_29,Vis
29,λ,0,0.689,0.044,15.694,0,0.603,0.775,1,0,7Networks_LH_Vis_29,Vis
29,σ1intra^2,0,0.512,0.059,8.628,0,0.396,0.628,1,0,7Networks_LH_Vis_29,Vis
29,σ2intra^2,0,0.515,0.06,8.659,0,0.399,0.632,1,0,7Networks_LH_Vis_29,Vis
29,σAinter^2,0,0.488,0.139,3.503,0,0.215,0.761,1,0,7Networks_LH_Vis_29,Vis
29,σAmi^2,0,0.617,0.094,6.597,0,0.434,0.8,1,0,7Networks_LH_Vis_29,Vis
29,σAGD^2,0,0.45,0.1,4.503,0,0.254,0.646,1,0,7Networks_LH_Vis_29,Vis
29,σEinter^2,0,0.512,0.139,3.674,0,0.239,0.785,1,0,7Networks_LH_Vis_29,Vis
29,σEmi^2,0,0.379,0.054,6.986,0,0.273,0.486,1,0,7Networks_LH_Vis_29,Vis
29,σEGD^2,0,0.545,0.079,6.895,0,0.39,0.7,1,0,7Networks_LH_Vis_29,Vis
29,σA_mig1,0,-0.104,0.085,-1.228,0.219,-0.271,0.062,1,0,7Networks_LH_Vis_29,Vis
29,σA_gdg1,0,-0.178,0.088,-2.015,0.044,-0.352,-0.005,1,0,7Networks_LH_Vis_29,Vis
29,σA_migd,0,-0.106,0.068,-1.572,0.116,-0.239,0.026,1,0,7Networks_LH_Vis_29,Vis
29,σE_mig1,0,-0.013,0.065,-0.194,0.846,-0.14,0.115,1,0,7Networks_LH_Vis_29,Vis
29,σE_gdg1,0,0.233,0.079,2.965,0.003,0.079,0.387,1,0,7Networks_LH_Vis_29,Vis
29,σE_migd,0,0.064,0.047,1.375,0.169,-0.027,0.156,1,0,7Networks_LH_Vis_29,Vis
30,mean_FCG11,0,0,0.058,0.002,0.999,-0.114,0.114,1,0,7Networks_LH_Vis_30,Vis
30,mean_FCG12,0,0,0.059,0.002,0.999,-0.116,0.116,1,0,7Networks_LH_Vis_30,Vis
30,mean_T1w/T2wmi,0,0.019,0.063,0.306,0.76,-0.104,0.143,1,0,7Networks_LH_Vis_30,Vis
30,GD,0,0.003,0.062,0.043,0.966,-0.119,0.124,1,0,7Networks_LH_Vis_30,Vis
30,λ,0,0.715,0.044,16.278,0,0.629,0.801,1,0,7Networks_LH_Vis_30,Vis
30,σ1intra^2,0,0.462,0.056,8.295,0,0.353,0.572,1,0,7Networks_LH_Vis_30,Vis
30,σ2intra^2,0,0.499,0.058,8.668,0,0.386,0.611,1,0,7Networks_LH_Vis_30,Vis
30,σAinter^2,0,0.577,0.129,4.476,0,0.324,0.829,1,0,7Networks_LH_Vis_30,Vis
30,σAmi^2,0,0.575,0.095,6.054,0,0.389,0.761,1,0,7Networks_LH_Vis_30,Vis
30,σAGD^2,0,0.5,0.098,5.126,0,0.309,0.691,1,0,7Networks_LH_Vis_30,Vis
30,σEinter^2,0,0.423,0.129,3.286,0.001,0.171,0.676,1,0,7Networks_LH_Vis_30,Vis
30,σEmi^2,0,0.421,0.06,6.972,0,0.303,0.54,1,0,7Networks_LH_Vis_30,Vis
30,σEGD^2,0,0.491,0.072,6.857,0,0.351,0.632,1,0,7Networks_LH_Vis_30,Vis
30,σA_mig1,0,-0.139,0.086,-1.622,0.105,-0.307,0.029,1,0,7Networks_LH_Vis_30,Vis
30,σA_gdg1,0,-0.081,0.088,-0.929,0.353,-0.253,0.09,1,0,7Networks_LH_Vis_30,Vis
30,σA_migd,0,-0.042,0.068,-0.623,0.534,-0.175,0.091,1,0,7Networks_LH_Vis_30,Vis
30,σE_mig1,0,-0.046,0.064,-0.707,0.479,-0.172,0.081,1,0,7Networks_LH_Vis_30,Vis
30,σE_gdg1,0,0.091,0.07,1.291,0.197,-0.047,0.229,1,0,7Networks_LH_Vis_30,Vis
30,σE_migd,0,0.093,0.047,1.977,0.048,0.001,0.186,1,0,7Networks_LH_Vis_30,Vis
31,mean_FCG11,0,0.002,0.061,0.026,0.979,-0.118,0.121,1,0,7Networks_LH_Vis_31,Vis
31,mean_FCG12,0,0.002,0.06,0.026,0.979,-0.117,0.12,1,0,7Networks_LH_Vis_31,Vis
31,mean_T1w/T2wmi,0,0.013,0.063,0.21,0.834,-0.111,0.138,1,0,7Networks_LH_Vis_31,Vis
31,GD,0,0.001,0.059,0.009,0.993,-0.115,0.116,1,0,7Networks_LH_Vis_31,Vis
31,λ,0,0.76,0.043,17.509,0,0.675,0.845,1,0,7Networks_LH_Vis_31,Vis
31,σ1intra^2,0,0.413,0.048,8.643,0,0.319,0.507,1,0,7Networks_LH_Vis_31,Vis
31,σ2intra^2,0,0.387,0.047,8.321,0,0.296,0.478,1,0,7Networks_LH_Vis_31,Vis
31,σAinter^2,0,0.807,0.077,10.49,0,0.656,0.958,1,0,7Networks_LH_Vis_31,Vis
31,σAmi^2,0,0.635,0.091,6.986,0,0.457,0.813,1,0,7Networks_LH_Vis_31,Vis
31,σAGD^2,0,0.316,0.098,3.221,0.001,0.124,0.508,1,0,7Networks_LH_Vis_31,Vis
31,σEinter^2,0,0.193,0.077,2.509,0.012,0.042,0.344,1,0,7Networks_LH_Vis_31,Vis
31,σEmi^2,0,0.351,0.05,6.98,0,0.253,0.45,1,0,7Networks_LH_Vis_31,Vis
