Parcel,label,exo,est,se,z,pvalue,ci.lower,ci.upper,cfi,rmsea,label_Yeo_7,label_Yeo7_short,p_adjust
1,rA_P13,0,0.242,0.177,1.369,0.171,-0.105,0.589,1,0,7Networks_LH_Vis_1,Vis,1
2,rA_P13,0,0.575,0.119,4.838,0,0.342,0.808,1,0,7Networks_LH_Vis_2,Vis,0.001
3,rA_P13,0,-0.002,0.176,-0.009,0.993,-0.346,0.342,1,0,7Networks_LH_Vis_3,Vis,1
4,rA_P13,0,0.205,0.132,1.549,0.121,-0.054,0.464,1,0,7Networks_LH_Vis_4,Vis,1
5,rA_P13,0,-0.009,0.179,-0.05,0.96,-0.359,0.341,1,0,7Networks_LH_Vis_5,Vis,1
6,rA_P13,0,0.128,0.161,0.795,0.427,-0.187,0.442,1,0,7Networks_LH_Vis_6,Vis,1
7,rA_P13,0,0.688,0.12,5.714,0,0.452,0.924,1,0,7Networks_LH_Vis_7,Vis,0
8,rA_P13,0,-0.039,0.207,-0.188,0.851,-0.445,0.367,1,0,7Networks_LH_Vis_8,Vis,1
9,rA_P13,0,-0.16,0.257,-0.623,0.533,-0.664,0.344,1,0,7Networks_LH_Vis_9,Vis,1
10,rA_P13,0,0.006,0.191,0.034,0.973,-0.367,0.38,1,0,7Networks_LH_Vis_10,Vis,1
11,rA_P13,0,-0.085,0.185,-0.46,0.645,-0.447,0.277,1,0,7Networks_LH_Vis_11,Vis,1
12,rA_P13,0,0.562,0.137,4.095,0,0.293,0.831,1,0,7Networks_LH_Vis_12,Vis,0.017
13,rA_P13,0,0.455,0.198,2.298,0.022,0.067,0.843,1,0,7Networks_LH_Vis_13,Vis,1
14,rA_P13,0,0.02,0.19,0.106,0.915,-0.351,0.392,1,0,7Networks_LH_Vis_14,Vis,1
15,rA_P13,0,0.797,0.072,11.004,0,0.655,0.939,1,0,7Networks_LH_Vis_15,Vis,0
16,rA_P13,0,-0.356,0.311,-1.144,0.253,-0.966,0.254,1,0,7Networks_LH_Vis_16,Vis,1
17,rA_P13,0,-0.178,0.171,-1.041,0.298,-0.514,0.157,1,0,7Networks_LH_Vis_17,Vis,1
18,rA_P13,0,0.52,0.157,3.318,0.001,0.213,0.827,1,0,7Networks_LH_Vis_18,Vis,0.362
19,rA_P13,0,0.317,0.317,0.999,0.318,-0.305,0.938,1,0,7Networks_LH_Vis_19,Vis,1
20,rA_P13,0,0.573,0.111,5.146,0,0.355,0.791,1,0,7Networks_LH_Vis_20,Vis,0
21,rA_P13,0,-0.215,0.194,-1.105,0.269,-0.596,0.166,0.954,0.045,7Networks_LH_Vis_21,Vis,1
22,rA_P13,0,-0.299,0.221,-1.352,0.176,-0.733,0.134,0.974,0.028,7Networks_LH_Vis_22,Vis,1
23,rA_P13,0,0.246,0.156,1.579,0.114,-0.059,0.551,1,0,7Networks_LH_Vis_23,Vis,1
24,rA_P13,0,-0.169,0.27,-0.627,0.531,-0.697,0.359,0.952,0.04,7Networks_LH_Vis_24,Vis,1
25,rA_P13,0,-0.159,0.295,-0.539,0.59,-0.736,0.419,0.917,0.047,7Networks_LH_Vis_25,Vis,1
26,rA_P13,0,-0.249,0.201,-1.241,0.214,-0.643,0.144,1,0,7Networks_LH_Vis_26,Vis,1
27,rA_P13,0,0.024,0.224,0.108,0.914,-0.414,0.462,0.989,0.017,7Networks_LH_Vis_27,Vis,1
28,rA_P13,0,0.649,0.088,7.346,0,0.476,0.823,1,0,7Networks_LH_Vis_28,Vis,0
29,rA_P13,0,-0.38,0.22,-1.729,0.084,-0.812,0.051,1,0,7Networks_LH_Vis_29,Vis,1
30,rA_P13,0,-0.152,0.17,-0.891,0.373,-0.486,0.182,1,0,7Networks_LH_Vis_30,Vis,1
31,rA_P13,0,0.51,0.125,4.082,0,0.265,0.756,1,0,7Networks_LH_Vis_31,Vis,0.018
32,rA_P13,0,-0.556,0.126,-4.416,0,-0.803,-0.309,1,0,7Networks_LH_SomMot_1,SomMot,0.004
33,rA_P13,0,-0.627,0.115,-5.466,0,-0.851,-0.402,1,0,7Networks_LH_SomMot_2,SomMot,0
34,rA_P13,0,-0.305,0.258,-1.183,0.237,-0.811,0.2,1,0,7Networks_LH_SomMot_3,SomMot,1
35,rA_P13,0,-0.032,0.315,-0.102,0.919,-0.65,0.586,1,0,7Networks_LH_SomMot_4,SomMot,1
36,rA_P13,0,-0.425,0.205,-2.069,0.039,-0.827,-0.022,1,0,7Networks_LH_SomMot_5,SomMot,1
37,rA_P13,0,-0.322,0.165,-1.95,0.051,-0.645,0.002,1,0,7Networks_LH_SomMot_6,SomMot,1
38,rA_P13,0,-0.441,0.161,-2.741,0.006,-0.756,-0.126,1,0,7Networks_LH_SomMot_7,SomMot,1
39,rA_P13,0,-0.354,0.23,-1.539,0.124,-0.805,0.097,1,0,7Networks_LH_SomMot_8,SomMot,1
40,rA_P13,0,-0.565,0.136,-4.152,0,-0.832,-0.298,1,0,7Networks_LH_SomMot_9,SomMot,0.013
41,rA_P13,0,-0.149,0.33,-0.451,0.652,-0.796,0.499,1,0,7Networks_LH_SomMot_10,SomMot,1
42,rA_P13,0,-0.233,0.232,-1.008,0.313,-0.687,0.22,1,0,7Networks_LH_SomMot_11,SomMot,1
43,rA_P13,0,-0.061,0.158,-0.388,0.698,-0.371,0.249,1,0,7Networks_LH_SomMot_12,SomMot,1
44,rA_P13,0,-0.215,0.202,-1.063,0.288,-0.611,0.181,1,0,7Networks_LH_SomMot_13,SomMot,1
45,rA_P13,0,0.284,0.194,1.469,0.142,-0.095,0.664,1,0,7Networks_LH_SomMot_14,SomMot,1
46,rA_P13,0,-0.177,0.205,-0.86,0.39,-0.579,0.226,1,0,7Networks_LH_SomMot_15,SomMot,1
47,rA_P13,0,-0.415,0.138,-3.006,0.003,-0.686,-0.144,1,0,7Networks_LH_SomMot_16,SomMot,1
48,rA_P13,0,0.034,0.164,0.205,0.838,-0.288,0.356,1,0,7Networks_LH_SomMot_17,SomMot,1
49,rA_P13,0,-0.233,0.171,-1.359,0.174,-0.569,0.103,1,0,7Networks_LH_SomMot_18,SomMot,1
