Parcel,label,exo,est,se,z,pvalue,ci.lower,ci.upper,cfi,rmsea,label_Yeo_7,label_Yeo7_short,p_adjust
50,rA_P13,0,-0.533,0.12,-4.436,0,-0.769,-0.298,1,0.004,7Networks_LH_SomMot_19,SomMot,0.004
51,rA_P13,0,-0.097,0.24,-0.402,0.688,-0.567,0.374,1,0,7Networks_LH_SomMot_20,SomMot,1
52,rA_P13,0,-0.286,0.262,-1.09,0.276,-0.799,0.228,1,0,7Networks_LH_SomMot_21,SomMot,1
53,rA_P13,0,0.244,0.239,1.022,0.307,-0.224,0.712,1,0,7Networks_LH_SomMot_22,SomMot,1
54,rA_P13,0,-0.267,0.169,-1.58,0.114,-0.597,0.064,1,0,7Networks_LH_SomMot_23,SomMot,1
55,rA_P13,0,0.14,0.168,0.833,0.405,-0.189,0.468,0.983,0.019,7Networks_LH_SomMot_24,SomMot,1
56,rA_P13,0,-0.083,0.264,-0.316,0.752,-0.6,0.433,1,0,7Networks_LH_SomMot_25,SomMot,1
57,rA_P13,0,0.301,0.276,1.091,0.275,-0.24,0.842,1,0,7Networks_LH_SomMot_26,SomMot,1
58,rA_P13,0,-0.531,0.124,-4.288,0,-0.774,-0.288,1,0,7Networks_LH_SomMot_27,SomMot,0.007
59,rA_P13,0,0.098,0.166,0.59,0.555,-0.227,0.423,1,0,7Networks_LH_SomMot_28,SomMot,1
60,rA_P13,0,-0.402,0.156,-2.585,0.01,-0.708,-0.097,1,0,7Networks_LH_SomMot_29,SomMot,1
61,rA_P13,0,-0.538,0.165,-3.262,0.001,-0.862,-0.215,0.995,0.011,7Networks_LH_SomMot_30,SomMot,0.443
62,rA_P13,0,-0.143,0.187,-0.769,0.442,-0.509,0.222,1,0,7Networks_LH_SomMot_31,SomMot,1
63,rA_P13,0,0.396,0.37,1.07,0.285,-0.329,1.12,1,0,7Networks_LH_SomMot_32,SomMot,1
64,rA_P13,0,0.681,0.226,3.008,0.003,0.237,1.125,1,0,7Networks_LH_SomMot_33,SomMot,1
65,rA_P13,0,0.184,0.231,0.796,0.426,-0.269,0.638,1,0,7Networks_LH_SomMot_34,SomMot,1
66,rA_P13,0,0.237,0.213,1.11,0.267,-0.181,0.654,1,0,7Networks_LH_SomMot_35,SomMot,1
67,rA_P13,0,-0.055,0.206,-0.265,0.791,-0.458,0.349,1,0,7Networks_LH_SomMot_36,SomMot,1
68,rA_P13,0,0.631,0.137,4.594,0,0.362,0.9,1,0,7Networks_LH_SomMot_37,SomMot,0.002
69,rA_P13,0,-0.299,0.223,-1.339,0.181,-0.737,0.139,1,0,7Networks_LH_DorsAttn_Post_1,DorsAttn,1
70,rA_P13,0,0.568,0.1,5.661,0,0.372,0.765,1,0,7Networks_LH_DorsAttn_Post_2,DorsAttn,0
71,rA_P13,0,0.378,0.156,2.423,0.015,0.072,0.683,1,0,7Networks_LH_DorsAttn_Post_3,DorsAttn,1
72,rA_P13,0,0.333,0.111,2.993,0.003,0.115,0.55,1,0,7Networks_LH_DorsAttn_Post_4,DorsAttn,1
73,rA_P13,0,0.544,0.094,5.768,0,0.359,0.729,1,0,7Networks_LH_DorsAttn_Post_5,DorsAttn,0
74,rA_P13,0,0.136,0.216,0.631,0.528,-0.287,0.559,1,0,7Networks_LH_DorsAttn_Post_6,DorsAttn,1
75,rA_P13,0,0.578,0.123,4.715,0,0.338,0.819,1,0,7Networks_LH_DorsAttn_Post_7,DorsAttn,0.001
76,rA_P13,0,-0.283,0.196,-1.45,0.147,-0.667,0.1,1,0,7Networks_LH_DorsAttn_Post_8,DorsAttn,1
77,rA_P13,0,0.138,0.19,0.725,0.468,-0.235,0.51,1,0,7Networks_LH_DorsAttn_Post_9,DorsAttn,1
78,rA_P13,0,0.204,0.136,1.501,0.133,-0.062,0.471,1,0,7Networks_LH_DorsAttn_Post_10,DorsAttn,1
79,rA_P13,0,-0.441,0.209,-2.116,0.034,-0.85,-0.032,1,0,7Networks_LH_DorsAttn_Post_11,DorsAttn,1
80,rA_P13,0,-0.717,0.122,-5.869,0,-0.957,-0.478,1,0,7Networks_LH_DorsAttn_Post_12,DorsAttn,0
81,rA_P13,0,0.281,0.153,1.835,0.066,-0.019,0.582,1,0,7Networks_LH_DorsAttn_Post_13,DorsAttn,1
82,rA_P13,0,-0.298,0.167,-1.779,0.075,-0.625,0.03,1,0,7Networks_LH_DorsAttn_Post_14,DorsAttn,1
83,rA_P13,0,0.377,0.161,2.339,0.019,0.061,0.693,1,0,7Networks_LH_DorsAttn_Post_15,DorsAttn,1
84,rA_P13,0,0.253,0.204,1.237,0.216,-0.148,0.653,1,0,7Networks_LH_DorsAttn_Post_16,DorsAttn,1
85,rA_P13,0,-0.011,0.174,-0.063,0.949,-0.353,0.331,1,0,7Networks_LH_DorsAttn_Post_17,DorsAttn,1
86,rA_P13,0,-0.776,0.093,-8.322,0,-0.959,-0.594,1,0,7Networks_LH_DorsAttn_FEF_1,DorsAttn,0
87,rA_P13,0,-0.66,0.212,-3.111,0.002,-1.075,-0.244,1,0,7Networks_LH_DorsAttn_FEF_2,DorsAttn,0.746
88,rA_P13,0,-0.843,0.109,-7.757,0,-1.057,-0.63,1,0,7Networks_LH_DorsAttn_FEF_3,DorsAttn,0
89,rA_P13,0,-0.059,0.211,-0.277,0.782,-0.473,0.356,1,0,7Networks_LH_DorsAttn_FEF_4,DorsAttn,1
90,rA_P13,0,-0.038,0.24,-0.158,0.874,-0.508,0.432,1,0,7Networks_LH_DorsAttn_PrCv_1,DorsAttn,1
91,rA_P13,0,-0.801,0.074,-10.821,0,-0.946,-0.656,1,0,7Networks_LH_DorsAttn_PrCv_2,DorsAttn,0
92,rA_P13,0,-0.283,0.152,-1.866,0.062,-0.581,0.014,1,0,7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn,1
93,rA_P13,0,0.281,0.198,1.415,0.157,-0.108,0.67,1,0,7Networks_LH_SalVentAttn_ParOper_2,SalVentAttn,1
94,rA_P13,0,0.186,0.155,1.199,0.231,-0.118,0.49,1,0,7Networks_LH_SalVentAttn_ParOper_3,SalVentAttn,1
95,rA_P13,0,0.099,0.132,0.749,0.454,-0.16,0.357,1,0,7Networks_LH_SalVentAttn_ParOper_4,SalVentAttn,1
96,rA_P13,0,0.154,0.131,1.175,0.24,-0.103,0.411,1,0,7Networks_LH_SalVentAttn_TempOcc_1,SalVentAttn,1
97,rA_P13,0,-0.717,0.16,-4.486,0,-1.03,-0.404,1,0,7Networks_LH_SalVentAttn_FrOperIns_1,SalVentAttn,0.003
98,rA_P13,0,-0.253,0.296,-0.853,0.394,-0.834,0.328,1,0,7Networks_LH_SalVentAttn_FrOperIns_2,SalVentAttn,1
99,rA_P13,0,-0.461,0.175,-2.642,0.008,-0.804,-0.119,1,0,7Networks_LH_SalVentAttn_FrOperIns_3,SalVentAttn,1
100,rA_P13,0,-0.015,0.228,-0.064,0.949,-0.462,0.433,0.942,0.034,7Networks_LH_SalVentAttn_FrOperIns_4,SalVentAttn,1
101,rA_P13,0,-0.205,0.119,-1.723,0.085,-0.439,0.028,1,0,7Networks_LH_SalVentAttn_FrOperIns_5,SalVentAttn,1
102,rA_P13,0,-0.588,0.181,-3.254,0.001,-0.941,-0.234,1,0,7Networks_LH_SalVentAttn_FrOperIns_6,SalVentAttn,0.454
103,rA_P13,0,0.036,0.367,0.097,0.923,-0.684,0.756,1,0,7Networks_LH_SalVentAttn_FrOperIns_7,SalVentAttn,1
104,rA_P13,0,-0.552,0.127,-4.349,0,-0.801,-0.303,1,0,7Networks_LH_SalVentAttn_FrOperIns_8,SalVentAttn,0.005
105,rA_P13,0,0.026,0.236,0.108,0.914,-0.437,0.488,1,0,7Networks_LH_SalVentAttn_FrOperIns_9,SalVentAttn,1
106,rA_P13,0,-0.323,0.157,-2.054,0.04,-0.631,-0.015,1,0,7Networks_LH_SalVentAttn_PFCl_1,SalVentAttn,1
107,rA_P13,0,-0.052,0.238,-0.22,0.826,-0.518,0.413,1,0,7Networks_LH_SalVentAttn_Med_1,SalVentAttn,1
108,rA_P13,0,0.209,0.254,0.821,0.412,-0.289,0.706,1,0,7Networks_LH_SalVentAttn_Med_2,SalVentAttn,1
109,rA_P13,0,-0.019,0.261,-0.074,0.941,-0.531,0.492,1,0,7Networks_LH_SalVentAttn_Med_3,SalVentAttn,1
110,rA_P13,0,-0.045,0.213,-0.21,0.834,-0.462,0.372,1,0,7Networks_LH_SalVentAttn_Med_4,SalVentAttn,1
111,rA_P13,0,-0.164,0.125,-1.31,0.19,-0.409,0.081,1,0,7Networks_LH_SalVentAttn_Med_5,SalVentAttn,1
112,rA_P13,0,-0.065,0.183,-0.356,0.722,-0.424,0.294,1,0,7Networks_LH_SalVentAttn_Med_6,SalVentAttn,1
113,rA_P13,0,-0.589,0.284,-2.074,0.038,-1.145,-0.032,1,0,7Networks_LH_SalVentAttn_Med_7,SalVentAttn,1
114,rA_P13,0,-0.568,0.186,-3.049,0.002,-0.933,-0.203,1,0,7Networks_LH_Limbic_OFC_1,Limbic,0.917
115,rA_P13,0,-0.632,0.194,-3.259,0.001,-1.012,-0.252,1,0,7Networks_LH_Limbic_OFC_2,Limbic,0.447
116,rA_P13,0,-0.162,0.637,-0.254,0.799,-1.411,1.087,1,0,7Networks_LH_Limbic_OFC_3,Limbic,1
117,rA_P13,0,-0.53,0.216,-2.458,0.014,-0.953,-0.107,1,0,7Networks_LH_Limbic_OFC_4,Limbic,1
118,rA_P13,0,-0.257,0.219,-1.174,0.241,-0.685,0.172,0.999,0.005,7Networks_LH_Limbic_OFC_5,Limbic,1
119,rA_P13,0,-0.286,0.212,-1.351,0.177,-0.701,0.129,1,0,7Networks_LH_Limbic_TempPole_1,Limbic,1
120,rA_P13,0,0.206,0.86,0.239,0.811,-1.481,1.892,1,0,7Networks_LH_Limbic_TempPole_2,Limbic,1
121,rA_P13,0,0.274,0.285,0.963,0.335,-0.284,0.832,1,0,7Networks_LH_Limbic_TempPole_3,Limbic,1
122,rA_P13,0,0.329,0.194,1.699,0.089,-0.051,0.708,1,0,7Networks_LH_Limbic_TempPole_4,Limbic,1
123,rA_P13,0,0.331,0.208,1.594,0.111,-0.076,0.738,0.951,0.036,7Networks_LH_Limbic_TempPole_5,Limbic,1
124,rA_P13,0,0.58,0.126,4.611,0,0.333,0.826,1,0,7Networks_LH_Limbic_TempPole_6,Limbic,0.002
125,rA_P13,0,0.101,0.377,0.268,0.788,-0.637,0.839,0.953,0.031,7Networks_LH_Limbic_TempPole_7,Limbic,1
126,rA_P13,0,0.159,0.229,0.696,0.486,-0.289,0.607,1,0,7Networks_LH_Limbic_TempPole_8,Limbic,1
127,rA_P13,0,0.294,0.157,1.877,0.061,-0.013,0.601,1,0,7Networks_LH_Cont_Par_1,Cont,1
128,rA_P13,0,0.306,0.137,2.241,0.025,0.038,0.574,1,0,7Networks_LH_Cont_Par_2,Cont,1
129,rA_P13,0,-0.004,0.184,-0.022,0.982,-0.365,0.356,1,0,7Networks_LH_Cont_Par_3,Cont,1
130,rA_P13,0,0.076,0.132,0.575,0.566,-0.183,0.334,1,0,7Networks_LH_Cont_Par_4,Cont,1
131,rA_P13,0,-0.079,0.145,-0.544,0.587,-0.363,0.205,1,0,7Networks_LH_Cont_Par_5,Cont,1
132,rA_P13,0,0.339,0.148,2.287,0.022,0.049,0.63,1,0,7Networks_LH_Cont_Par_6,Cont,1
133,rA_P13,0,-0.14,0.141,-0.996,0.319,-0.416,0.136,1,0,7Networks_LH_Cont_Temp_1,Cont,1
134,rA_P13,0,-0.163,0.148,-1.1,0.272,-0.454,0.128,1,0,7Networks_LH_Cont_OFC_1,Cont,1
135,rA_P13,0,0.128,0.148,0.866,0.386,-0.162,0.419,1,0,7Networks_LH_Cont_PFCl_1,Cont,1
136,rA_P13,0,-0.132,0.207,-0.641,0.522,-0.537,0.272,1,0,7Networks_LH_Cont_PFCl_2,Cont,1
137,rA_P13,0,0.164,0.46,0.357,0.721,-0.737,1.065,1,0,7Networks_LH_Cont_PFCl_3,Cont,1
138,rA_P13,0,0.115,0.227,0.507,0.612,-0.33,0.561,0.986,0.022,7Networks_LH_Cont_PFCl_4,Cont,1
139,rA_P13,0,-0.002,0.183,-0.009,0.993,-0.36,0.356,1,0,7Networks_LH_Cont_PFCl_5,Cont,1
140,rA_P13,0,-0.587,0.801,-0.733,0.463,-2.157,0.982,1,0,7Networks_LH_Cont_PFCl_6,Cont,1
141,rA_P13,0,-0.398,0.289,-1.376,0.169,-0.965,0.169,1,0,7Networks_LH_Cont_PFCl_7,Cont,1
142,rA_P13,0,-0.106,0.235,-0.449,0.653,-0.567,0.356,1,0,7Networks_LH_Cont_PFCl_8,Cont,1
143,rA_P13,0,0.254,0.228,1.111,0.267,-0.194,0.701,1,0,7Networks_LH_Cont_PFCv_1,Cont,1
144,rA_P13,0,0.19,0.146,1.298,0.194,-0.097,0.476,1,0,7Networks_LH_Cont_pCun_1,Cont,1
145,rA_P13,0,0.688,0.187,3.676,0,0.321,1.055,1,0,7Networks_LH_Cont_pCun_2,Cont,0.095
146,rA_P13,0,0.144,0.169,0.855,0.392,-0.186,0.475,1,0,7Networks_LH_Cont_Cing_1,Cont,1
147,rA_P13,0,-0.244,0.137,-1.78,0.075,-0.512,0.025,1,0,7Networks_LH_Cont_Cing_2,Cont,1
148,rA_P13,0,-0.148,0.189,-0.785,0.432,-0.518,0.222,1,0,7Networks_LH_Cont_PFCmp_1,Cont,1
149,rA_P13,0,0.417,0.119,3.506,0,0.184,0.65,0.986,0.021,7Networks_LH_Default_Temp_1,Default,0.182
150,rA_P13,0,-0.145,0.16,-0.909,0.364,-0.459,0.168,1,0,7Networks_LH_Default_Temp_2,Default,1
151,rA_P13,0,-0.235,0.182,-1.29,0.197,-0.593,0.122,1,0,7Networks_LH_Default_Temp_3,Default,1
152,rA_P13,0,0.593,0.115,5.156,0,0.367,0.818,1,0,7Networks_LH_Default_Temp_4,Default,0
153,rA_P13,0,-0.67,0.127,-5.277,0,-0.919,-0.421,1,0,7Networks_LH_Default_Temp_5,Default,0
154,rA_P13,0,-0.076,0.178,-0.425,0.671,-0.426,0.274,1,0,7Networks_LH_Default_Temp_6,Default,1
155,rA_P13,0,0.381,0.122,3.128,0.002,0.142,0.619,1,0,7Networks_LH_Default_Temp_7,Default,0.705
156,rA_P13,0,-0.584,0.179,-3.272,0.001,-0.934,-0.234,1,0,7Networks_LH_Default_Temp_8,Default,0.427
157,rA_P13,0,-0.081,0.187,-0.432,0.666,-0.447,0.286,1,0,7Networks_LH_Default_Temp_9,Default,1
158,rA_P13,0,0.326,0.162,2.015,0.044,0.009,0.643,1,0,7Networks_LH_Default_Temp_10,Default,1
159,rA_P13,0,-0.646,0.219,-2.946,0.003,-1.076,-0.216,1,0,7Networks_LH_Default_Par_1,Default,1
160,rA_P13,0,0.412,0.133,3.107,0.002,0.152,0.672,1,0,7Networks_LH_Default_Par_2,Default,0.756
161,rA_P13,0,0.255,0.186,1.374,0.169,-0.109,0.619,1,0,7Networks_LH_Default_Par_3,Default,1
162,rA_P13,0,-0.128,0.174,-0.737,0.461,-0.47,0.213,1,0,7Networks_LH_Default_Par_4,Default,1
163,rA_P13,0,0.419,0.158,2.647,0.008,0.109,0.73,0.961,0.042,7Networks_LH_Default_Par_5,Default,1
164,rA_P13,0,-0.196,0.166,-1.181,0.238,-0.521,0.129,1,0,7Networks_LH_Default_Par_6,Default,1
165,rA_P13,0,-0.26,0.171,-1.514,0.13,-0.596,0.076,1,0,7Networks_LH_Default_Par_7,Default,1
166,rA_P13,0,-0.126,0.203,-0.623,0.534,-0.524,0.271,1,0,7Networks_LH_Default_PFC_1,Default,1
167,rA_P13,0,-0.566,0.138,-4.087,0,-0.837,-0.295,1,0,7Networks_LH_Default_PFC_2,Default,0.017
168,rA_P13,0,-0.72,0.131,-5.502,0,-0.977,-0.464,1,0,7Networks_LH_Default_PFC_3,Default,0
169,rA_P13,0,-0.492,0.203,-2.424,0.015,-0.891,-0.094,1,0,7Networks_LH_Default_PFC_4,Default,1
170,rA_P13,0,0.19,0.235,0.809,0.419,-0.271,0.651,1,0,7Networks_LH_Default_PFC_5,Default,1
171,rA_P13,0,-0.159,0.231,-0.69,0.49,-0.612,0.293,0.995,0.014,7Networks_LH_Default_PFC_6,Default,1
172,rA_P13,0,0.491,0.135,3.628,0,0.226,0.756,1,0,7Networks_LH_Default_PFC_7,Default,0.114
173,rA_P13,0,-0.243,0.195,-1.251,0.211,-0.625,0.138,1,0,7Networks_LH_Default_PFC_8,Default,1
174,rA_P13,0,0.275,0.204,1.347,0.178,-0.125,0.675,1,0,7Networks_LH_Default_PFC_9,Default,1
175,rA_P13,0,0.365,0.157,2.321,0.02,0.057,0.673,1,0,7Networks_LH_Default_PFC_10,Default,1
176,rA_P13,0,0.166,0.167,0.999,0.318,-0.16,0.493,1,0,7Networks_LH_Default_PFC_11,Default,1
177,rA_P13,0,-0.237,0.281,-0.844,0.399,-0.787,0.313,1,0,7Networks_LH_Default_PFC_12,Default,1
178,rA_P13,0,-0.062,0.194,-0.322,0.747,-0.443,0.318,1,0,7Networks_LH_Default_PFC_13,Default,1
179,rA_P13,0,-0.123,0.178,-0.688,0.491,-0.473,0.227,1,0,7Networks_LH_Default_PFC_14,Default,1
180,rA_P13,0,0.015,0.254,0.058,0.954,-0.484,0.513,0.987,0.018,7Networks_LH_Default_PFC_15,Default,1
181,rA_P13,0,-0.183,0.173,-1.06,0.289,-0.523,0.156,0.977,0.031,7Networks_LH_Default_PFC_16,Default,1
182,rA_P13,0,-0.034,0.187,-0.18,0.857,-0.4,0.333,1,0,7Networks_LH_Default_PFC_17,Default,1
183,rA_P13,0,-0.199,0.136,-1.467,0.142,-0.466,0.067,1,0,7Networks_LH_Default_PFC_18,Default,1
184,rA_P13,0,-0.266,0.215,-1.237,0.216,-0.686,0.155,1,0,7Networks_LH_Default_PFC_19,Default,1
185,rA_P13,0,-0.444,0.249,-1.784,0.074,-0.932,0.044,0.997,0.01,7Networks_LH_Default_PFC_20,Default,1
186,rA_P13,0,-0.223,0.186,-1.198,0.231,-0.587,0.142,1,0,7Networks_LH_Default_PFC_21,Default,1
187,rA_P13,0,-0.038,0.155,-0.245,0.807,-0.342,0.266,1,0,7Networks_LH_Default_PFC_22,Default,1
188,rA_P13,0,0.03,0.161,0.188,0.851,-0.285,0.345,1,0,7Networks_LH_Default_PFC_23,Default,1
189,rA_P13,0,0.272,0.215,1.268,0.205,-0.149,0.693,1,0,7Networks_LH_Default_PFC_24,Default,1
190,rA_P13,0,0.605,0.121,5.011,0,0.369,0.842,0.993,0.02,7Networks_LH_Default_pCunPCC_1,Default,0
191,rA_P13,0,0.711,0.111,6.421,0,0.494,0.928,1,0,7Networks_LH_Default_pCunPCC_2,Default,0
192,rA_P13,0,0.149,0.19,0.783,0.433,-0.223,0.521,1,0,7Networks_LH_Default_pCunPCC_3,Default,1
193,rA_P13,0,-0.447,0.163,-2.739,0.006,-0.766,-0.127,1,0,7Networks_LH_Default_pCunPCC_4,Default,1
194,rA_P13,0,0.184,0.175,1.051,0.293,-0.159,0.527,1,0,7Networks_LH_Default_pCunPCC_5,Default,1
195,rA_P13,0,-0.1,0.252,-0.395,0.693,-0.593,0.394,1,0,7Networks_LH_Default_pCunPCC_6,Default,1
196,rA_P13,0,0.124,0.152,0.812,0.417,-0.175,0.422,1,0,7Networks_LH_Default_pCunPCC_7,Default,1
197,rA_P13,0,-0.457,0.218,-2.098,0.036,-0.884,-0.03,1,0,7Networks_LH_Default_pCunPCC_8,Default,1
198,rA_P13,0,0.399,0.252,1.585,0.113,-0.094,0.892,1,0,7Networks_LH_Default_pCunPCC_9,Default,1
199,rA_P13,0,0.534,0.251,2.124,0.034,0.041,1.026,1,0,7Networks_LH_Default_pCunPCC_10,Default,1
200,rA_P13,0,0.106,0.197,0.541,0.589,-0.279,0.492,1,0,7Networks_LH_Default_pCunPCC_11,Default,1
201,rA_P13,0,0.044,0.203,0.215,0.829,-0.355,0.442,1,0,7Networks_RH_Vis_1,Vis,1
202,rA_P13,0,0.736,0.078,9.479,0,0.584,0.888,1,0,7Networks_RH_Vis_2,Vis,0
203,rA_P13,0,-0.167,0.133,-1.261,0.207,-0.427,0.093,1,0,7Networks_RH_Vis_3,Vis,1
204,rA_P13,0,0.077,0.153,0.505,0.613,-0.222,0.377,0.915,0.058,7Networks_RH_Vis_4,Vis,1
205,rA_P13,0,0.152,0.155,0.982,0.326,-0.151,0.455,1,0,7Networks_RH_Vis_5,Vis,1
206,rA_P13,0,0.056,0.204,0.274,0.784,-0.343,0.455,1,0,7Networks_RH_Vis_6,Vis,1
207,rA_P13,0,0.754,0.151,5.007,0,0.459,1.049,1,0,7Networks_RH_Vis_7,Vis,0
208,rA_P13,0,-0.159,0.198,-0.802,0.423,-0.548,0.23,1,0,7Networks_RH_Vis_8,Vis,1
209,rA_P13,0,0.249,0.19,1.311,0.19,-0.123,0.622,0.996,0.01,7Networks_RH_Vis_9,Vis,1
210,rA_P13,0,0.352,0.142,2.471,0.013,0.073,0.631,1,0,7Networks_RH_Vis_10,Vis,1
211,rA_P13,0,0.09,0.182,0.496,0.62,-0.266,0.446,1,0,7Networks_RH_Vis_11,Vis,1
212,rA_P13,0,0.322,0.182,1.768,0.077,-0.035,0.679,0.978,0.023,7Networks_RH_Vis_12,Vis,1
213,rA_P13,0,0.522,0.277,1.882,0.06,-0.022,1.065,1,0,7Networks_RH_Vis_13,Vis,1
214,rA_P13,0,0.256,0.221,1.155,0.248,-0.178,0.689,0.935,0.049,7Networks_RH_Vis_14,Vis,1
